id,bloodline,breed_type,genotype,hash_info.name,win_rate,number_of_races,parents.father.bloodline,parents.father.breed_type,parents.father.genotype,parents.father.hash_info.name,parents.father.win_rate,parents.father.number_of_races,parents.mother.bloodline,parents.mother.breed_type,parents.mother.genotype,parents.mother.hash_info.name,parents.mother.win_rate,parents.mother.number_of_races
15000,Buterin,genesis,Z10,Thrill Bill,100.0,1,,,,,,,,,,,,
15001,Buterin,genesis,Z10,Smiley Face,0.0,5,,,,,,,,,,,,
15002,Finney,genesis,Z5,Illusions,0.0,0,,,,,,,,,,,,
15003,Finney,genesis,Z6,Frank Angel,0.0,15,,,,,,,,,,,,
15004,Finney,genesis,Z6,Penalty Kick,0.0,0,,,,,,,,,,,,
15005,Finney,genesis,Z6,Nailed It,0.0,0,,,,,,,,,,,,
15006,Finney,genesis,Z5,Invictus Salute,0.0,0,,,,,,,,,,,,
15007,Finney,genesis,Z5,Bad Attitude,0.0,7,,,,,,,,,,,,
15008,Finney,genesis,Z5,Silent Pursuit,0.0,0,,,,,,,,,,,,
15009,Finney,genesis,Z5,One Hit Wonder,0.0,0,,,,,,,,,,,,
15010,Finney,genesis,Z6,Still Believing,0.0,3,,,,,,,,,,,,
15011,Finney,genesis,Z6,Above Expectations,5.26,19,,,,,,,,,,,,
15012,Finney,genesis,Z7,Fearless Al,0.0,10,,,,,,,,,,,,
15013,Finney,genesis,Z7,Life Quest,0.0,26,,,,,,,,,,,,
15014,Finney,genesis,Z7,Cargo Shorts,3.7,27,,,,,,,,,,,,
15015,Finney,genesis,Z7,Crown Theatre,0.0,17,,,,,,,,,,,,
15016,Finney,genesis,Z7,Mystical Past,0.0,0,,,,,,,,,,,,
15017,Finney,genesis,Z7,Energetic Pulse,4.88,41,,,,,,,,,,,,
15018,Finney,genesis,Z7,Hendricks,100.0,2,,,,,,,,,,,,
15019,Finney,genesis,Z7,Power Craft,0.0,1,,,,,,,,,,,,
15020,Finney,genesis,Z7,Hard Line,0.0,0,,,,,,,,,,,,
15021,Finney,genesis,Z7,Ribbon Of Gold,10.45,67,,,,,,,,,,,,
15022,Finney,genesis,Z7,Meme Dream,0.0,0,,,,,,,,,,,,
15023,Finney,genesis,Z7,Tanqueray,22.83,184,,,,,,,,,,,,
15024,Finney,genesis,Z7,Band Together,0.0,0,,,,,,,,,,,,
15025,Finney,genesis,Z7,Master's Mistress,0.0,0,,,,,,,,,,,,
15026,Finney,genesis,Z7,Nautical Twilight,20.0,15,,,,,,,,,,,,
15027,Finney,genesis,Z6,Another Weapon,0.0,0,,,,,,,,,,,,
15028,Finney,genesis,Z7,Irish Melody,0.0,0,,,,,,,,,,,,
15029,Finney,genesis,Z7,Baby Jordan,0.0,0,,,,,,,,,,,,
15030,Finney,genesis,Z7,Wow Cry,0.0,0,,,,,,,,,,,,
15031,Finney,genesis,Z7,Breathtaking,0.0,0,,,,,,,,,,,,
15032,Finney,genesis,Z7,Iron Spur,12.43,169,,,,,,,,,,,,
15033,Finney,genesis,Z7,Legging It,0.0,0,,,,,,,,,,,,
15034,Szabo,genesis,Z3,I Got Tricks,0.0,0,,,,,,,,,,,,
15035,Szabo,genesis,Z3,I'm Your Venus,0.0,0,,,,,,,,,,,,
15036,Szabo,genesis,Z3,Tag Along Right,0.0,0,,,,,,,,,,,,
15037,Szabo,genesis,Z4,Toss The Salt,7.32,41,,,,,,,,,,,,
15038,Szabo,genesis,Z3,Ballista,0.0,0,,,,,,,,,,,,
15039,Szabo,genesis,Z4,Top Cop,0.0,5,,,,,,,,,,,,
15040,Szabo,genesis,Z4,The Intimidator,0.0,8,,,,,,,,,,,,
15041,Szabo,genesis,Z4,Wild Eyed,0.0,1,,,,,,,,,,,,
15042,Nakamoto,genesis,Z2,Almost Gemini,0.0,0,,,,,,,,,,,,
15043,Nakamoto,genesis,Z2,Inspector Clouse,27.78,18,,,,,,,,,,,,
15044,Nakamoto,genesis,Z2,Out Of Pocket,0.0,0,,,,,,,,,,,,
15045,Nakamoto,genesis,Z1,Glorious Triumph,12.99,77,,,,,,,,,,,,
15046,Nakamoto,genesis,Z2,Taking Advantage,0.0,0,,,,,,,,,,,,
15047,Nakamoto,genesis,Z2,Never Enough Time,0.0,0,,,,,,,,,,,,
15048,Nakamoto,genesis,Z2,Tough Act,0.0,0,,,,,,,,,,,,
15049,Nakamoto,genesis,Z1,Lunch Break,3.57,28,,,,,,,,,,,,
15050,Nakamoto,genesis,Z1,Code of Honour,0.0,0,,,,,,,,,,,,
15051,Nakamoto,genesis,Z2,Chocolate and Salt,0.0,0,,,,,,,,,,,,
15052,Nakamoto,genesis,Z2,Hand Clap Come On,0.0,0,,,,,,,,,,,,
15053,Nakamoto,genesis,Z1,Shook,0.0,0,,,,,,,,,,,,
15054,Nakamoto,genesis,Z2,Crispy Bills,0.0,0,,,,,,,,,,,,
15055,Nakamoto,genesis,Z2,Class A Condition,0.0,0,,,,,,,,,,,,
15056,Buterin,genesis,Z8,Antivax,6.0,50,,,,,,,,,,,,
15057,Buterin,genesis,Z9,Burnout,0.0,7,,,,,,,,,,,,
15058,Buterin,genesis,Z8,Killer Ghost,0.0,12,,,,,,,,,,,,
15059,Buterin,genesis,Z8,Back To Life,0.0,0,,,,,,,,,,,,
15060,Buterin,genesis,Z9,Gothic Might,8.33,12,,,,,,,,,,,,
15061,Buterin,genesis,Z8,Superintendent,0.0,0,,,,,,,,,,,,
15062,Buterin,genesis,Z10,More Than Exceed,15.08,305,,,,,,,,,,,,
15063,Buterin,genesis,Z8,Sway Zee,4.35,46,,,,,,,,,,,,
15064,Buterin,genesis,Z9,HODL Me Close,0.0,0,,,,,,,,,,,,
15065,Buterin,genesis,Z8,Showstopper,0.0,0,,,,,,,,,,,,
15066,Buterin,genesis,Z10,Long Over Due,0.0,0,,,,,,,,,,,,
15067,Buterin,genesis,Z10,By The Works,0.0,9,,,,,,,,,,,,
15068,Buterin,genesis,Z10,Top Shot This,17.86,28,,,,,,,,,,,,
15069,Buterin,genesis,Z8,Agent Block,0.0,13,,,,,,,,,,,,
15070,Buterin,genesis,Z10,Price of Steel,0.0,1,,,,,,,,,,,,
15071,Buterin,genesis,Z10,Aguero,0.0,0,,,,,,,,,,,,
15072,Buterin,genesis,Z9,Xero,0.0,0,,,,,,,,,,,,
15073,Buterin,genesis,Z10,The 6Ix,0.0,0,,,,,,,,,,,,
15074,Buterin,genesis,Z8,Houndstooth,0.0,25,,,,,,,,,,,,
15075,Buterin,genesis,Z9,Rainbow Serpent,0.0,0,,,,,,,,,,,,
15076,Buterin,genesis,Z10,Into The Wild,8.09,136,,,,,,,,,,,,
15077,Buterin,genesis,Z9,Zero Jester,0.0,0,,,,,,,,,,,,
15078,Buterin,genesis,Z8,Just Random,0.0,0,,,,,,,,,,,,
15079,Buterin,genesis,Z8,Mighty All Mighty,0.0,1,,,,,,,,,,,,
15080,Buterin,genesis,Z8,Luxurious Lifestyle,0.0,0,,,,,,,,,,,,
15081,Buterin,genesis,Z8,Boulder,0.0,7,,,,,,,,,,,,
15082,Buterin,genesis,Z9,London Tassels,0.0,0,,,,,,,,,,,,
15083,Buterin,genesis,Z9,NFT HODLR,0.0,8,,,,,,,,,,,,
15084,Buterin,genesis,Z9,Sovereign Wealth,25.0,8,,,,,,,,,,,,
15085,Buterin,genesis,Z8,Infinite Beyond,0.0,0,,,,,,,,,,,,
15086,Buterin,genesis,Z9,Mucho Mango,0.0,6,,,,,,,,,,,,
15087,Buterin,genesis,Z8,Riveting,0.0,10,,,,,,,,,,,,
15088,Buterin,genesis,Z10,Zook,0.0,0,,,,,,,,,,,,
15089,Buterin,genesis,Z10,Fortissimo,0.0,0,,,,,,,,,,,,
15090,Buterin,genesis,Z8,Scrappy Strider,12.9,93,,,,,,,,,,,,
15091,Buterin,genesis,Z8,Chantilly,0.0,0,,,,,,,,,,,,
15092,Buterin,genesis,Z8,Oasis Rose,0.0,16,,,,,,,,,,,,
15093,Buterin,genesis,Z8,No Vices,18.18,99,,,,,,,,,,,,
15094,Buterin,genesis,Z8,Heart Felt Edition,17.65,17,,,,,,,,,,,,
15095,Buterin,genesis,Z9,Onitsuka,0.0,0,,,,,,,,,,,,
15096,Buterin,genesis,Z8,Peruvian Puff,6.25,16,,,,,,,,,,,,
15097,Buterin,genesis,Z9,It Could Be You,7.21,111,,,,,,,,,,,,
15098,Buterin,genesis,Z8,Population Controller,0.0,0,,,,,,,,,,,,
15099,Buterin,genesis,Z8,Data Master,0.0,55,,,,,,,,,,,,
15100,Buterin,genesis,Z8,Let's Sway,0.0,0,,,,,,,,,,,,
15101,Buterin,genesis,Z10,Photo Finish,0.0,0,,,,,,,,,,,,
15102,Buterin,genesis,Z8,Liberty Pearl,0.0,0,,,,,,,,,,,,
15103,Buterin,genesis,Z10,Hazard Warning,5.88,34,,,,,,,,,,,,
15104,Buterin,genesis,Z8,Hot Tamale,0.0,6,,,,,,,,,,,,
15105,Buterin,genesis,Z8,Major Investor,0.0,0,,,,,,,,,,,,
15106,Buterin,genesis,Z8,Not Taking Shit From You,0.0,0,,,,,,,,,,,,
15107,Buterin,genesis,Z8,Tempting Faith,0.0,0,,,,,,,,,,,,
15108,Buterin,genesis,Z8,Lowrider,12.0,25,,,,,,,,,,,,
15109,Buterin,genesis,Z8,Drunk In Love,0.0,0,,,,,,,,,,,,
15110,Buterin,genesis,Z8,Cape Spirit,0.0,0,,,,,,,,,,,,
15111,Buterin,genesis,Z10,Primo Uomo,0.0,2,,,,,,,,,,,,
15112,Buterin,genesis,Z8,Polarity,0.0,0,,,,,,,,,,,,
15113,Buterin,genesis,Z8,Holographic Nature,0.0,2,,,,,,,,,,,,
15114,Finney,genesis,Z5,Pole Position,0.0,8,,,,,,,,,,,,
15115,Finney,genesis,Z6,Sloppy Joe,0.0,1,,,,,,,,,,,,
15116,Finney,genesis,Z5,Mountain Mist,0.0,0,,,,,,,,,,,,
15117,Finney,genesis,Z5,Glowing Feeling,0.0,0,,,,,,,,,,,,
15118,Finney,genesis,Z6,Black Velvet,11.11,9,,,,,,,,,,,,
15119,Finney,genesis,Z6,Acid Drop,0.0,0,,,,,,,,,,,,
15120,Finney,genesis,Z6,False Start,0.0,0,,,,,,,,,,,,
15121,Finney,genesis,Z6,Blame It On Me,0.0,11,,,,,,,,,,,,
15122,Finney,genesis,Z6,The Due,0.0,9,,,,,,,,,,,,
15123,Finney,genesis,Z6,Driftwood,8.33,12,,,,,,,,,,,,
15124,Finney,genesis,Z6,N64,14.29,7,,,,,,,,,,,,
15125,Finney,genesis,Z6,Ice Cold Lemonade,0.0,9,,,,,,,,,,,,
15126,Finney,genesis,Z7,The Ideas Man,9.52,21,,,,,,,,,,,,
15127,Finney,genesis,Z6,Heart Conquered,11.11,54,,,,,,,,,,,,
15128,Finney,genesis,Z5,Can I?,5.45,55,,,,,,,,,,,,
15129,Finney,genesis,Z6,Bold Appeal,0.0,43,,,,,,,,,,,,
15130,Finney,genesis,Z6,Something Extra,0.0,0,,,,,,,,,,,,
15131,Finney,genesis,Z6,The 90s,10.53,38,,,,,,,,,,,,
15132,Finney,genesis,Z6,Savaged and Destroyed,0.0,0,,,,,,,,,,,,
15133,Finney,genesis,Z7,Data Painting,0.0,0,,,,,,,,,,,,
15134,Finney,genesis,Z7,Shake That Thing,4.07,172,,,,,,,,,,,,
15135,Finney,genesis,Z7,Around the Bush,0.0,0,,,,,,,,,,,,
15136,Finney,genesis,Z5,Galaxy Falls,16.13,62,,,,,,,,,,,,
15137,Finney,genesis,Z7,The Notebook,0.0,11,,,,,,,,,,,,
15138,Finney,genesis,Z5,Selective Hearing,12.5,8,,,,,,,,,,,,
15139,Finney,genesis,Z5,Accelerator,10.0,10,,,,,,,,,,,,
15140,Finney,genesis,Z7,Rocket Ride,0.0,0,,,,,,,,,,,,
15141,Finney,genesis,Z7,Too Quick For You,0.0,6,,,,,,,,,,,,
15142,Finney,genesis,Z6,Flying Lucky,0.0,4,,,,,,,,,,,,
15143,Finney,genesis,Z7,Pass The Lovin',0.0,0,,,,,,,,,,,,
15144,Finney,genesis,Z7,Alphabetical Order,0.0,0,,,,,,,,,,,,
15145,Finney,genesis,Z7,Walker,0.0,0,,,,,,,,,,,,
15146,Finney,genesis,Z7,Liberty ’s Torch,0.0,0,,,,,,,,,,,,
15147,Finney,genesis,Z7,Skyway Star,3.17,63,,,,,,,,,,,,
15148,Finney,genesis,Z5,Aluminize,0.0,0,,,,,,,,,,,,
15149,Finney,genesis,Z6,Amber Glow,8.06,62,,,,,,,,,,,,
15150,Finney,genesis,Z7,Right Hand,11.11,27,,,,,,,,,,,,
15151,Finney,genesis,Z5,Feathers Of Fame,0.0,8,,,,,,,,,,,,
15152,Finney,genesis,Z7,Words In Motion,6.1,82,,,,,,,,,,,,
15153,Finney,genesis,Z7,Quick Shifter,0.0,0,,,,,,,,,,,,
15154,Finney,genesis,Z7,Fast Arrow,0.0,0,,,,,,,,,,,,
15155,Finney,genesis,Z7,Peach For Hours,17.58,91,,,,,,,,,,,,
